Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Printing Income Assessment Forms,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,27 June 2016,"$14,347.50"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,28 July 2015,"$14,372.21"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,"Stirpe, Stones and Associates",13 December 2016,"$14,486.13"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Independent Advocacy 2010 Inc.,15 August 2017,"$14,617.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,17 March 2014,"$14,620.00"
Xerox Multi-Function Printer,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Akhaliak Office Products and Supplies Ltd.,24 August 2015,"$14,626.50"
Xerox Color Printer,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Akhaliak Office Products o/a Xerox Canada,19 July 2016,"$14,759.50"
Toners,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,24 January 2018,"$14,780.70"
Venue & Catering Services,Service Contract,Sole Source,Iqaluit,Family Services,Frobisher Inn,29 March 2019,"$14,834.86"
Family Violence Shelter Staff Training,Service Contract,Sole Source,Kugaaruk,Family Services,Hamlet of Kugaaruk,18 December 2018,"$14,840.90"
Shelter Staff Training on Violence,Service Contract,Sole Source,Kugluktuk,Family Services,Hamlet of Kugluktuk,15 January 2019,"$14,915.50"
Adult Learning and Training Supports,Consulting,Sole Source,Nunavut Territory,Family Services,Ben Calf Robe Society,01 April 2016,"$15,000.00"
Shelter Staff Training,Service Contract,Sole Source,Cambridge Bay,Family Services,Municipality of Cambridge Bay,18 December 2018,"$15,000.00"
Distribution of Literacy Packs for Children,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Inhabit Education Inc.,31 October 2020,"$15,009.00"
Xerox WorkCentre Printer,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Xerox Canada Ltd. o/a Akhaliak,17 March 2016,"$15,104.50"
Residential Care,Consulting,Sole Source,Arviat,Family Services,Broken Arrow Residential Treatment Services,15 March 2018,"$15,155.00"
Xerox WorkCentre,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Xerox Canada Ltd. o/a Tootoo Consulting,30 August 2018,"$15,196.50"
Xerox WorkCentre,Service Contract,Public Request for Proposals,Pangnirtung,Family Services,Xerox Canada Ltd. o/a Tootoo Consulting,30 August 2018,"$15,196.50"
Five Year Poverty Reduction Action Plan,Service Contract,Extension,Nunavut Territory,Family Services,Stiles Associates Inc.,02 May 2014,"$15,343.00"
Ad Placement,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,20 June 2013,"$15,353.85"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Wood's Homes,24 May 2013,"$15,440.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Wood's Homes,24 May 2013,"$15,440.00"
Residential Care,Consulting,Sole Source,Coral Harbour,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$15,467.39"
Xerox WorkCentre,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Xerox Canada Ltd. o/a Tootoo Consulting,13 June 2018,"$15,490.50"
Xerox WorkCentre,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Xerox Canada Ltd. o/a Tootoo Consulting,30 July 2018,"$15,490.50"
Office Furniture,Purchase Order,Invitational Tender,Iqaluit,Family Services,Ikpiaryuk Services Ltd.,28 August 2017,"$15,492.67"
20 Foot Sea Containers,Purchase Order,Sole Source,Iqaluit,Family Services,R.L. Hanson Construction Ltd.,14 October 2020,"$15,600.00"
NRPR Facilitation,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Arctic Willow Consulting,01 April 2018,"$15,700.00"
Xerox Altalink and Office Supplies,Purchase Order,Public Tender,Iqaluit,Family Services,Xerox Canada Ltd. o/a Arctic Office Solutions,04 August 2020,"$15,826.50"
Xerox Altalink,Service Contract,Public Tender,Iqaluit,Family Services,Xerox Canada Ltd. o/a Arctic Office Solutions,21 August 2020,"$15,826.50"
Capacity Assessments,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,"Stirpe, Stones and Associates",04 May 2014,"$15,946.00"
Xerox WorkCentre,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Xerox Canada Ltd. o/a Tootoo Consulting,19 April 2018,"$15,974.50"
Income Assistance Workshop,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,NVision Insight Group Inc.,30 August 2019,"$15,986.25"
SMC Charter,Air Charters,Invitational Tender,Iqaluit,Family Services,Air Nunavut,27 September 2013,"$15,998.00"
Residential Care,Consulting,Public Request for Proposals,Gjoa Haven,Family Services,I Have a Chance Support Services Inc.,01 September 2016,"$16,078.20"
Stabilization and Assessment,Consulting,Sole Source,Cambridge Bay,Family Services,Wood's Homes,21 July 2015,"$16,190.00"
Residential Care,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",13 September 2016,"$16,227.90"
Family Home Provider,Service Contract,Sole Source,Kugluktuk,Family Services,Silvia Moreno,01 November 2018,"$16,299.50"
Furniture,Purchase Order,Invitational Tender,Cambridge Bay,Family Services,5322 Nunavut Ltd.,31 January 2014,"$16,323.04"
Promotional Items,Purchase Order,Invitational Tender,Iqaluit,Family Services,4624 Nunavut Ltd. o/a Tittaq Office Products,07 May 2015,"$16,489.89"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Partners in Parenting Inc.,22 January 2017,"$16,540.00"
Office Supplies,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,07 October 2020,"$16,559.60"
Guardianship Capacity Assessments,Consulting,Public Request for Proposals,Kitikmeot Region,Family Services,"Stirpe, Stones and Associates",10 June 2016,"$16,616.24"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,22 March 2018,"$16,708.91"
Kivalliq Men and Boys Roundtable,Consulting,Sole Source,Rankin Inlet,Family Services,Pulaarvik Kablu Friendship Centre,09 January 2017,"$16,800.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Bayfield Treatment Centres,15 July 2020,"$16,913.00"
Office Supplies and Furniture,Purchase Order,Public Request for Proposals,Arviat,Family Services,Northern Networks Ltd.,08 February 2021,"$16,913.64"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,19 March 2019,"$17,087.77"
Residential Care,Consulting,Public Request for Proposals,Kivalliq Region,Family Services,"Stirpe, Stones and Associates",03 April 2016,"$17,088.20"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Richard Vine,01 April 2020,"$17,216.00"
Toner Cartridges,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,22 July 2016,"$17,288.90"
Summer Camp,Service Contract,Sole Source,Iqaluit,Family Services,City of Iqaluit,01 July 2019,"$17,500.00"
On-Line Learning Support,Consulting,Sole Source,Nunavut Territory,Family Services,Relias Learning LLC.,01 April 2016,"$17,564.78"
Family Wellness Training Programs,Service Contract,Public Request for Proposals,Iqaluit,Family Services,NVision Insight Group Inc.,20 July 2020,"$17,807.48"
Residential Care,Service Contract,Sole Source,Sanirajak,Family Services,Annie's Haven Ltd.,01 April 2020,"$17,925.00"
Specialized Residential Treatment and Care,Service Contract,Extension,Iqaluit,Family Services,Wood's Homes,01 August 2013,"$18,000.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Alliance Youth Services Inc.,01 November 2020,"$18,000.00"
Residential Care - JM Pond Inlet,Service Contract,Extension,Pond Inlet,Family Services,Evelyn Daisy Isnor,01 April 2014,"$18,100.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,"Metis Child, Family & Community Services",01 September 2020,"$18,220.00"
Summary Report and Communication Support,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Outcrop Nunavut,24 September 2014,"$18,250.00"
Family Wellness,Service Contract,Sole Source,Arviat,Family Services,Robin Walker,01 April 2020,"$18,720.00"
Guardianship Assessments,Consulting,Sole Source,Nunavut Territory,Family Services,"Stirpe, Stones & Associates",22 April 2017,"$18,848.24"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Options Youth and Associates,01 April 2013,"$19,255.00"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,24 June 2020,"$19,281.89"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,Mary Homes Inc.,07 April 2017,"$19,310.00"
Income Support Assessment Forms,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,25 October 2013,"$19,422.81"
Community Engagement on Income Assistance,Air Charters,Invitational Tender,Grise Fiord,Family Services,Air Nunavut Ltd.,20 November 2015,"$19,617.00"
Equipment Rental,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Innirvik Support Services (2003) Ltd.,01 March 2017,"$19,726.25"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,17 March 2020,"$19,737.77"
Guardianship Assessment,Consulting,Public Request for Proposals,Kitikmeot Region,Family Services,"Stirpe, Stones and Associates",08 January 2017,"$20,191.13"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,12 March 2020,"$20,618.40"
Specialized Residential Care,Service Contract,Sole Source,Whale Cove,Family Services,Gloria's Place,29 August 2013,"$20,700.00"
Electrical Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,CompuCom Canada Co.,30 September 2014,"$20,725.77"
Community Consultations,Air Charters,Invitational Tender,Kitikmeot Region,Family Services,Kitikmeot Air Ltd.,05 February 2021,"$20,922.80"
Financial Assistance for Nunavut Students Database Development,Service Contract,Extension,Nunavut Territory,Family Services,CoreSolutions Software Inc.,01 April 2014,"$20,995.00"
Provision of Small Business Support,Consulting,Sole Source,Kitikmeot Region,Family Services,Kitikmeot Community Futures Inc.,02 January 2014,"$21,000.00"
Provision of Small Business Support,Consulting,Sole Source,Qikiqtaaluk Region,Family Services,Baffin Business Development Corporation,01 January 2014,"$21,000.00"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,City of Ottawa,01 April 2015,"$21,168.15"
Logitech Webcam,Purchase Order,Invitational Tender,Iqaluit,Family Services,Nuna Depot Inc.,09 April 2020,"$21,188.60"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,City of Ottawa,01 April 2016,"$21,297.72"
Children's Group Home Review,Consulting,Sole Source,Iqaluit,Family Services,Andrew Koster,19 November 2018,"$21,532.60"
Privacy Impact Assessment Review & Completion,Consulting,Public Request for Proposals,Iqaluit,Family Services,Excela Associates Inc.,22 May 2019,"$21,560.00"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Options Youth (Ontario) Inc.,01 April 2018,"$21,670.00"
Seal Skin Patches for Int'l Women's Day,Service Contract,Sole Source,Iqaluit,Family Services,Sarah Philip,01 March 2021,"$22,000.00"
Residential Care,Service Contract,Public Request for Proposals,Pangnirtung,Family Services,Bairn Croft Residential Services Inc.,29 May 2015,"$22,234.00"
Guardianship Assessment,Consulting,Public Request for Proposals,Other,Family Services,"Stirpe, Stones and Associates",24 October 2016,"$22,270.78"
,,,,,,,
,,,,,,,
Specialized Residential Treatment,Service Contract,Extension,Iqaluit,Family Services,Ranch Ehrlo Society,01 July 2013,"$22,464.00"
Catering,Purchase Order,Sole Source,Iqaluit,Family Services,Frobisher Inn,15 February 2017,"$22,497.50"
Residential Care,Service Contract,Sole Source,Arctic Bay,Family Services,Maryhomes Inc.,29 June 2015,"$22,750.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$22,750.00"
Residential Care,Service Contract,Extension,Gjoa Haven,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$22,750.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$22,800.00"
Residential Care,Service Contract,Extension,Kugluktuk,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$22,800.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$22,800.00"
Family Home Provider,Service Contract,Sole Source,Iqaluit,Family Services,Tatenda Chimhanda,01 February 2019,"$22,800.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,28 April 2016,"$22,920.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$23,000.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$23,000.00"
Residential Care,Service Contract,Public Request for Proposals,Igloolik,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$23,000.00"
Residential Care,Service Contract,Extension,Pond Inlet,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$23,000.00"
Residential Care,Service Contract,Extension,Pond Inlet,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$23,000.00"
Residential Care,Service Contract,Extension,Pond Inlet,Family Services,Sinclair Children's Residence Inc.,01 January 2015,"$23,000.00"
Specialized Residential Care,Service Contract,Sole Source,Arviat,Family Services,The Massey Home o/a 6639977 Manitoba Ltd.,20 January 2014,"$23,075.00"
Residential Care,Service Contract,Public Request for Proposals,Igloolik,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
Residential Care,Service Contract,Public Request for Proposals,Igloolik,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 July 2014,"$23,250.00"
Residential Care,Service Contract,Extension,Kinngait,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
Residential Care,Service Contract,Extension,Pond Inlet,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
Residential Care,Service Contract,Extension,Igloolik,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$23,250.00"
